order_item_id,user_decision
26,0
28,0
37,0
56,0
65,0
80,0
95,0
96,0
100,0
105,0
106,0
108,0
124,0
137,0
141,0
181,0
202,0
205,0
219,0
270,0
276,0
279,0
290,0
292,0
293,0
300,0
301,0
319,0
336,0
358,0
385,1
408,0
417,1
419,0
426,1
435,0
446,0
451,0
455,0
487,0
510,1
518,0
523,0
530,0
534,0
540,0
546,0
548,0
551,0
567,0
570,0
575,0
594,0
610,0
614,0
616,0
618,0
657,0
658,1
668,0
676,0
677,1
693,0
702,0
706,1
711,0
712,0
725,1
728,0
749,1
751,0
756,1
757,0
765,0
771,0
784,0
789,0
792,1
796,1
815,0
824,0
829,1
876,1
880,0
892,0
898,0
906,1
918,0
928,0
931,0
935,0
942,0
943,1
957,0
969,1
971,1
980,0
1009,1
1018,0
1039,0
1046,0
1050,0
1076,1
1087,0
1094,0
1098,0
1107,1
1111,0
1112,0
1116,0
1118,1
1120,0
1124,0
1133,0
1146,0
1152,0
1181,1
1183,1
1193,0
1218,0
1222,0
1230,0
1259,0
1273,0
1280,0
1287,0
1301,0
1302,0
1305,0
1316,0
1317,0
1341,1
1343,1
1347,1
1348,0
1351,0
1352,1
1354,0
1360,0
1364,0
1377,0
1383,0
1386,1
1401,0
1405,0
1413,1
1414,1
1418,1
1426,0
1437,0
1438,0
1443,0
1452,0
1469,1
1493,1
1498,0
1502,1
1505,0
1517,0
1530,1
1536,1
1537,0
1542,0
1543,0
1544,0
1550,0
1596,0
1629,1
1651,0
1665,1
1678,0
1682,0
1684,0
1687,0
1688,0
1691,0
1717,1
1719,0
1733,0
1734,0
1735,1
1753,0
1755,0
1762,0
1780,0
1801,0
1815,0
1816,0
1838,1
1846,0
1848,1
1849,0
1861,1
1862,0
1863,0
1864,0
1872,0
1876,0
1888,0
1892,0
1897,0
1920,0
1922,1
1942,0
1944,1
1946,1
1990,0
2018,1
2019,1
2024,0
2030,0
2043,0
2049,0
2053,0
2070,0
2082,1
2093,1
2099,0
2101,0
2103,0
2109,0
2118,0
2149,0
2163,1
2166,1
2169,0
2172,0
2175,0
2189,0
2195,1
2198,0
2210,0
2232,1
2244,0
2249,0
2256,1
2261,1
2277,1
2292,0
2295,0
2304,0
2310,0
2337,0
2350,1
2355,0
2360,1
2363,1
2390,1
2398,0
2400,0
2402,0
2408,0
2410,0
2420,0
2436,0
2440,0
2453,0
2457,0
2467,0
2479,0
2483,1
2495,0
2514,0
2524,0
2526,0
2527,0
2528,0
2537,1
2550,0
2557,1
2564,0
2567,0
2578,0
2580,0
2583,0
2591,0
2593,0
2606,0
2629,0
2630,0
2631,0
2640,0
2643,1
2686,0
2689,1
2705,0
2712,0
2728,1
2729,0
2733,0
2769,1
2774,1
2775,1
2784,0
2787,0
2792,0
2803,0
2812,0
2819,0
2831,0
2851,0
2869,0
2877,0
2881,1
2904,0
2907,0
2910,0
2987,0
2999,1
3023,1
3029,0
3030,0
3038,1
3040,0
3048,0
3053,1
3062,0
3063,1
3075,0
3076,0
3085,0
3086,0
3087,0
3088,0
3133,1
3166,1
3171,1
3184,0
3195,0
3200,1
3215,0
3227,0
3237,0
3239,0
3248,0
3251,1
3260,0
3276,1
3303,0
3308,0
3312,0
3313,1
3321,1
3324,0
3329,0
3347,0
3349,0
3358,1
3366,0
3367,0
3376,0
3381,0
3386,0
3393,0
3410,0
3420,0
3425,1
3439,0
3453,0
3460,0
3464,1
3499,0
3500,0
3506,1
3514,0
3519,0
3526,0
3530,0
3534,0
3536,0
3542,1
3561,0
3583,1
3597,0
3616,0
3620,0
3626,0
3629,0
3645,0
3646,0
3647,0
3683,1
3689,0
3710,0
3713,1
3717,0
3727,1
3731,0
3734,1
3737,1
3750,1
3758,1
3764,1
3766,0
3781,0
3791,1
3818,0
3846,1
3851,0
3855,1
3864,0
3867,0
3872,0
3880,0
3894,1
3912,0
3923,0
3938,0
3940,0
3943,0
3945,0
3961,0
3964,1
3968,0
4024,0
4028,0
4039,1
4042,0
4051,0
4058,0
4059,0
4063,0
4073,1
4075,0
4081,0
4090,0
4093,0
4119,0
4125,0
4134,0
4138,0
4154,0
4171,0
4179,0
4197,0
4203,0
4208,0
4228,0
4231,0
4235,0
4249,0
4250,0
4252,0
4255,0
4272,0
4313,0
4317,0
4319,0
4323,1
4333,1
4335,0
4337,0
4366,0
4376,1
4380,0
4389,0
4394,0
4404,0
4434,0
4435,0
4457,0
4462,0
4464,0
4467,0
4476,0
4506,0
4514,0
4522,0
4534,0
4535,0
4539,0
4551,1
4553,0
4574,0
4580,0
4581,0
4586,0
4599,0
4613,1
4616,0
4620,0
4623,0
4629,0
4634,0
4635,0
4643,0
4644,0
4647,0
4654,0
4656,0
4682,0
4688,0
4689,0
4691,0
4696,0
4697,0
4699,0
4719,0
4721,0
4744,0
4746,0
4753,0
4761,0
4763,0
4764,0
4772,0
4792,0
4799,0
4807,0
4832,0
4835,0
4846,0
4847,0
4852,1
4853,0
4861,0
4862,0
4868,0
4871,0
4874,0
4893,1
4894,1
4895,1
4897,0
4936,1
4939,1
4945,0
4955,0
4967,0
5035,0
5037,0
5039,0
5040,0
5046,0
5048,0
5053,0
5056,0
5062,0
5071,1
5076,1
5094,0
5100,0
5106,1
5117,0
5164,0
5179,0
5196,0
5210,1
5211,1
5212,0
5213,0
5221,0
5235,0
5236,0
5237,0
5253,0
5303,0
5314,1
5325,0
5328,0
5331,0
5334,1
5339,0
5361,0
5363,0
5386,0
5387,0
5395,0
5413,0
5435,0
5437,0
5464,0
5470,0
5472,0
5477,0
5506,0
5509,1
5517,0
5519,0
5527,0
5554,0
5576,0
5591,0
5597,1
5604,0
5612,0
5629,0
5631,0
5651,0
5652,1
5670,0
5676,0
5704,0
5707,0
5718,0
5722,0
5726,0
5739,0
5742,1
5746,1
5752,0
5754,0
5762,0
5770,0
5784,0
5803,0
5831,0
5835,0
5839,0
5843,0
5860,0
5861,0
5862,0
5869,0
5874,0
5892,0
5896,0
5918,0
5919,0
5936,0
5961,0
5973,0
5976,1
5981,0
5984,0
6001,0
6002,0
6003,0
6018,0
6050,0
6057,0
6068,0
6083,0
6115,0
6120,0
6132,1
6133,0
6139,0
6141,0
6152,0
6157,0
6175,0
6182,0
6186,0
6188,0
6194,0
6196,0
6202,0
6204,0
6214,0
6221,1
6225,0
6227,0
6244,0
6258,0
6267,0
6281,1
6287,0
6321,0
6328,1
6330,1
6339,0
6347,0
6366,0
6371,0
6382,0
6392,0
6407,0
6425,0
6437,0
6439,0
6443,0
6455,1
6458,0
6473,0
6475,0
6481,0
6485,1
6533,1
6546,1
6572,0
6592,0
6596,1
6624,1
6626,0
6637,0
6644,0
6650,1
6675,0
6685,0
6706,0
6714,0
6719,0
6722,0
6727,0
6754,0
6771,0
6781,1
6785,0
6788,0
6801,0
6810,0
6819,0
6832,0
6841,0
6849,0
6855,0
6861,0
6892,0
6894,0
6895,0
6898,0
6901,0
6902,0
6918,0
6922,0
6929,0
6934,1
6942,1
6949,0
6951,0
6958,0
6969,0
6972,0
6987,0
6997,0
7006,0
7011,0
7027,1
7031,0
7032,0
7033,0
7042,0
7047,0
7053,0
7062,0
7065,0
7077,0
7078,0
7112,0
7126,0
7138,1
7151,0
7154,1
7164,0
7173,0
7175,0
7194,1
7198,0
7216,0
7227,0
7228,0
7230,0
7233,0
7247,0
7252,1
7259,0
7262,0
7266,0
7268,0
7274,0
7286,1
7301,1
7321,1
7324,0
7328,0
7335,0
7336,0
7341,0
7350,0
7359,0
7389,0
7395,0
7405,0
7435,1
7462,0
7476,0
7482,0
7491,0
7493,1
7499,1
7500,0
7506,0
7531,1
7533,0
7544,0
7554,0
7556,0
7562,0
7574,0
7586,0
7606,0
7641,0
7681,0
7692,0
7698,0
7700,0
7713,0
7730,0
7749,0
7752,0
7772,0
7789,0
7809,0
7818,0
7851,1
7866,0
7875,0
7885,1
7892,0
7913,0
7917,0
7920,0
7934,0
7959,1
7980,0
7982,0
8006,1
8013,1
8014,0
8026,0
8031,0
8041,0
8052,0
8064,0
8065,1
8072,0
8080,1
8084,1
8099,0
8106,0
8126,0
8130,1
8153,0
8159,0
8163,0
8166,0
8181,0
8202,0
8227,1
8233,0
8241,0
8262,0
8277,0
8302,0
8349,0
8351,0
8369,0
8372,0
8375,0
8390,0
8394,1
8423,0
8449,0
8453,0
8463,0
8470,0
8475,1
8485,1
8495,0
8514,0
8523,0
8531,0
8533,0
8539,0
8555,0
8571,0
8578,0
8601,0
8613,0
8632,0
8640,0
8656,0
8660,0
8701,0
8702,1
8709,0
8720,1
8739,0
8800,0
8840,0
8845,0
8851,0
8861,0
8869,0
8880,0
8883,0
8890,0
8909,0
8920,0
8943,0
8945,0
8956,0
8958,0
8959,0
8969,0
8971,0
8984,0
9012,0
9017,0
9018,0
9027,1
9042,0
9047,1
9054,0
9070,0
9082,0
9095,0
9098,0
9100,1
9102,1
9115,0
9126,0
9130,0
9144,0
9155,0
9189,0
9201,0
9210,0
9219,0
9222,0
9267,0
9285,1
9293,0
9304,0
9325,0
9346,0
9372,0
9392,0
9409,0
9417,0
